Label (Grouping),United States!!Total!!Estimate,United States!!Total!!Margin of Error,United States!!Below poverty level!!Estimate,United States!!Below poverty level!!Margin of Error,United States!!Percent below poverty level!!Estimate,United States!!Percent below poverty level!!Margin of Error
Population for whom poverty status is determined,"320,118,791","±24,954","39,490,096","±242,000",12.30%,±0.1
    AGE,,,,,,
        Under 18 years,"71,633,453","±39,859","12,000,470","±134,475",16.80%,±0.2
            Under 5 years,"19,002,162","±24,352","3,457,689","±51,835",18.20%,±0.3
            5 to 17 years,"52,631,291","±38,914","8,542,781","±98,380",16.20%,±0.2
            Related children of householder under 18 years,"71,326,895","±42,129","11,716,595","±134,827",16.40%,±0.2
        18 to 64 years,"195,703,010","±30,404","22,504,357","±113,070",11.50%,±0.1
            18 to 34 years,"71,922,088","±37,978","10,417,120","±73,212",14.50%,±0.1
            35 to 64 years,"123,780,922","±48,286","12,087,237","±74,285",9.80%,±0.1
        60 years and over,"73,579,563","±66,617","7,162,352","±46,169",9.70%,±0.1
        65 years and over,"52,782,328","±26,315","4,985,269","±36,715",9.40%,±0.1
    SEX,,,,,,
        Male,"156,743,490","±42,059","17,473,451","±123,014",11.10%,±0.1
        Female,"163,375,301","±45,562","22,016,645","±137,887",13.50%,±0.1
    RACE AND HISPANIC OR LATINO ORIGIN,,,,,,
        White alone,"231,191,647","±101,215","23,828,085","±203,823",10.30%,±0.1
        Black or African American alone,"40,291,288","±78,962","8,557,464","±86,813",21.20%,±0.2
        American Indian and Alaska Native alone,"2,749,899","±33,996","633,584","±19,354",23.00%,±0.7
        Asian alone,"18,274,780","±40,507","1,761,321","±35,380",9.60%,±0.2
        Native Hawaiian and Other Pacific Islander alone,"608,300","±17,929","100,256","±10,523",16.50%,±1.7
        Some other race alone,"16,016,665","±120,620","2,935,304","±60,267",18.30%,±0.3
        Two or more races,"10,986,212","±119,885","1,674,082","±38,384",15.20%,±0.3
        Hispanic or Latino origin (of any race),"59,226,212","±22,870","10,201,081","±106,111",17.20%,±0.2
"        White alone, not Hispanic or Latino","192,289,025","±32,778","17,352,095","±147,912",9.00%,±0.1
    EDUCATIONAL ATTAINMENT,,,,,,
        Population 25 years and over,"221,309,178","±69,454","22,277,293","±100,474",10.10%,±0.1
            Less than high school graduate,"24,684,741","±124,554","5,769,908","±52,665",23.40%,±0.2
            High school graduate (includes equivalency),"58,978,752","±181,385","7,703,553","±55,245",13.10%,±0.1
"            Some college, associate's degree","63,469,132","±124,428","5,781,713","±44,040",9.10%,±0.1
            Bachelor's degree or higher,"74,176,553","±238,708","3,022,119","±35,088",4.10%,±0.1
    EMPLOYMENT STATUS,,,,,,
        Civilian labor force 16 years and over,"165,157,929","±158,642","11,009,125","±71,784",6.70%,±0.1
            Employed,"157,766,768","±156,792","8,918,835","±62,296",5.70%,±0.1
                Male,"82,669,669","±91,074","3,886,120","±43,570",4.70%,±0.1
                Female,"75,097,099","±105,995","5,032,715","±43,140",6.70%,±0.1
            Unemployed,"7,391,161","±47,457","2,090,290","±29,774",28.30%,±0.4
                Male,"3,965,365","±36,702","1,018,900","±16,758",25.70%,±0.4
                Female,"3,425,796","±32,910","1,071,390","±20,116",31.30%,±0.5
    WORK EXPERIENCE,,,,,,
