"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"70813","2012","2012","2012","US","National","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","27.7","","","27.4","28.0","442,230","","","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","0","","","",""
"43459","2012","2012","2012","AL","Alabama","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","33.0","","","31.5","34.4","8,651","32.840571122","-86.631860762","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"55335","2012","2012","2012","AK","Alaska","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","25.7","","","23.9","27.5","4,093","64.845079957001","-147.722059036","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"75330","2012","2012","2012","AZ","Arizona","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","26.0","","","24.3","27.8","6,951","34.86597028","-111.763811277","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"81209","2012","2012","2012","AR","Arkansas","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","34.5","","","32.7","36.4","4,943","34.748650124","-92.274490743","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"78994","2012","2012","2012","CA","California","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","25.0","","","23.9","26.0","13,646","37.638640123","-120.999999538","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"83333","2012","2012","2012","CO","Colorado","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","20.5","","","19.5","21.5","11,643","38.843840757","-106.133610921","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","8","","","",""
"97943","2012","2012","2012","CT","Connecticut","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","25.6","","","24.3","26.9","8,312","41.56266102","-72.649840952","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"43003","2012","2012","2012","DE","Delaware","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","26.9","","","25.2","28.6","4,944","39.008830667","-75.577741168","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"82367","2012","2012","2012","DC","District of Columbia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","21.9","","","19.9","24.1","3,644","38.890371385","-77.031961127","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","11","","","",""
"91210","2012","2012","2012","FL","Florida","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","25.2","","","23.7","26.8","7,282","28.932040377","-81.928960539","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","12","","","",""
"58589","2012","2012","2012","GA","Georgia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","29.1","","","27.5","30.8","5,737","32.839681093","-83.627580346","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","13","","","",""
"49183","2012","2012","2012","HI","Hawaii","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","23.6","","","22.0","25.2","7,371","21.304850435","-157.857749403","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","15","","","",""
"76561","2012","2012","2012","ID","Idaho","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","26.8","","","24.8","28.8","5,578","43.682630005","-114.363730042","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","16","","","",""
"93999","2012","2012","2012","IL","Illinois","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","28.1","","","26.4","29.9","5,452","40.485010283","-88.997710178","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","17","","","",""
"93590","2012","2012","2012","IN","Indiana","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","31.4","","","30.1","32.7","8,225","39.766910452","-86.149960194","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","18","","","",""
"87956","2012","2012","2012","IA","Iowa","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","30.4","","","29.1","31.8","6,769","42.469400913","-93.816490556","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","19","","","",""
"84170","2012","2012","2012","KS","Kansas","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","29.8","","","28.7","31.0","11,238","38.3477403","-98.200781227","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","20","","","",""
"71996","2012","2012","2012","KY","Kentucky","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","31.3","","","29.9","32.7","10,570","37.645970271","-84.774971048","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","21","","","",""
"99447","2012","2012","2012","LA","Louisiana","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","34.7","","","33.1","36.4","8,656","31.312660644","-92.445680071","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","22","","","",""
"49426","2012","2012","2012","ME","Maine","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","28.3","","","27.2","29.5","9,512","45.254228894001","-68.985031336","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","23","","","",""
"97901","2012","2012","2012","MD","Maryland","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","27.6","","","26.3","28.9","11,947","39.290580964","-76.609260111","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","24","","","",""
"96686","2012","2012","2012","MA","Massachusetts","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","22.9","","","22.0","23.8","19,904","42.27687047","-72.082690675","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","25","","","",""
"81746","2012","2012","2012","MI","Michigan","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","31.1","","","29.8","32.3","10,052","44.661319543001","-84.71439027","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","26","","","",""
"54388","2012","2012","2012","MN","Minnesota","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","25.7","","","24.7","26.8","11,429","46.355648736","-94.794200503","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","27","","","",""
