"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"62702","2013","2013","2013","US","National","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","28.3","","","28.0","28.6","457,487","","","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","0","","","",""
"83660","2013","2013","2013","AL","Alabama","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","32.4","","","30.8","34.1","6,244","32.840571122","-86.631860762","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","1","","","",""
"90986","2013","2013","2013","AK","Alaska","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","28.4","","","26.5","30.4","4,396","64.845079957001","-147.722059036","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","2","","","",""
"72962","2013","2013","2013","AZ","Arizona","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","26.8","","","24.3","29.4","4,029","34.86597028","-111.763811277","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","4","","","",""
"72961","2013","2013","2013","AR","Arkansas","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","34.6","","","32.7","36.6","5,023","34.748650124","-92.274490743","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","5","","","",""
"85539","2013","2013","2013","CA","California","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","24.1","","","23.0","25.3","10,669","37.638640123","-120.999999538","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","6","","","",""
"75743","2013","2013","2013","CO","Colorado","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","21.3","","","20.4","22.2","12,920","38.843840757","-106.133610921","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","8","","","",""
"98162","2013","2013","2013","CT","Connecticut","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","25.0","","","23.5","26.4","7,309","41.56266102","-72.649840952","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","9","","","",""
"94560","2013","2013","2013","DE","Delaware","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","31.1","","","29.3","32.8","4,893","39.008830667","-75.577741168","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","10","","","",""
"94122","2013","2013","2013","DC","District of Columbia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","22.9","","","21.0","24.8","4,705","38.890371385","-77.031961127","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","11","","","",""
"84188","2013","2013","2013","FL","Florida","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","26.4","","","25.3","27.4","32,552","28.932040377","-81.928960539","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","12","","","",""
"55068","2013","2013","2013","GA","Georgia","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","30.3","","","28.9","31.8","7,606","32.839681093","-83.627580346","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","13","","","",""
"79909","2013","2013","2013","HI","Hawaii","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","21.8","","","20.4","23.2","7,609","21.304850435","-157.857749403","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","15","","","",""
"76624","2013","2013","2013","ID","Idaho","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","29.6","","","27.8","31.4","5,315","43.682630005","-114.363730042","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","16","","","",""
"96808","2013","2013","2013","IL","Illinois","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","29.4","","","27.7","31.2","5,490","40.485010283","-88.997710178","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","17","","","",""
"100322","2013","2013","2013","IN","Indiana","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","31.8","","","30.6","33.1","9,770","39.766910452","-86.149960194","OWS","OWS1","Q036","","Total","OVR","Total","OVERALL","","","","","","","","","18","","","",""
